"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM10","1992-12-10","1","Middle Water","2.1","0.253","1.1","104","8.4","60","160","0.142","0.076","0.056","8","2.6","32.7","1.1","1","12","21","0.47","0.85","1.07","0.09","6.5","0.008","2"
"Southern","SM10","1992-12-10","1","Bottom Water","1","0.189","1.4","98","7.9","70","190","0.112","0.038","0.043","8","2.1","32.7","1.1","0.95","11","21","0.34","0.75","0.9","0.06","7.2","0.006","2.5"
"Southern","SM11","1992-02-21","1","Surface Water","0.4","0.204","1.3","82","6.7","34","39","0.075","0.03","0.013","7.9","0.7","31.8","1","0.84","11","15.4","0.31","0.29","0.4","0.14","9.5","0.004","1.5"
"Southern","SM11","1992-02-21","1","Middle Water","0.2","0.162","0.8","82","6.7","60","680","0.067","0.024","0.014","7.9","0.9","31.8","1","0.85","17","15.4","0.25","0.38","0.47","0.14","14","0.003","1.5"
"Southern","SM11","1992-02-21","1","Bottom Water","0.1","0.182","1.1","81","6.7","48","49","0.071","0.036","0.01","8","1.2","31.5","1","0.86","15","15.3","0.29","0.29","0.4","0.15","12","0.004","2"
"Southern","SM11","1992-04-08","1","Surface Water","0.8","0.174","0.3","88","6.8","16","20","0.127","0.015","0.023","8","2","29.1","2","1.5","3","18.9","0.32","0.64","0.78","0.11","4.4","0.005","1"
"Southern","SM11","1992-04-08","1","Middle Water","0.7","0.158","0.3","88","6.8","30","30","0.117","0.014","0.023","8","2","29.7","2","1.41","3.5","18.8","0.29","0.61","0.74","0.12","3.1","0.004","0.5"
"Southern","SM11","1992-04-08","1","Bottom Water","0.6","0.128","0.5","83","6.4","14","21","0.113","0.014","0.023","8","1.5","29.8","2","1.44","4","18.7","0.26","0.58","0.71","0.13","4.4","0.003","1"
"Southern","SM11","1992-08-28","1","Surface Water","1.1","0.111","1.1","83","5.4","1","1","0.077","0.015","0.037","8","1.5","30.6","1.4","1.45","5.5","29.4","0.2","0.43","0.52","0.09","4.4","0.007","0.5"
"Southern","SM11","1992-08-28","1","Middle Water","1.4","0.114","1.1","79","5.1","7","9","0.074","0.014","0.048","8","1.2","30.6","1.4","1.35","13","29.1","0.2","0.43","0.52","0.13","5.5","0.007","6"
"Southern","SM11","1992-08-28","1","Bottom Water","1.6","0.123","1.1","72","4.7","44","51","0.069","0.015","0.049","8","1.2","30.5","1.4","1.33","11","28.9","0.21","0.43","0.51","0.08","7","0.007","1"
"Southern","SM11","1992-10-29","1","Surface Water","1.5","0.073","<0.2","89","6.1","1","1","0.211","0.081","0.042","7.9","4","33.1","1.1","1.15","5","24.9","0.37","0.59","0.88","0.05","5.3","0.003","3"
